,,,,,,,,,,,,,,,,
Jenis Barang,Armada,Asal,Tujuan,Harga,,Jenis Barang,Armada,Asal,Tujuan,Harga,,Jenis Barang,Armada,Asal,Tujuan,Harga
Cargo Max 30 ton,Trailer,Balikpapan ,Samarinda,"Rp8.000.000,00",,Container 20 Ft,Trailer,Balikpapan ,Samarinda,"Rp8.000.000,00",,Container 40 Ft,Trailer,Balikpapan ,Samarinda,"Rp9.000.000,00"
Cargo Max 30 ton,Trailer,Balikpapan ,Penajam,"Rp10.000.000,00",,Container 20 Ft,Trailer,Balikpapan ,Penajam,"Rp10.000.000,00",,Container 40 Ft,Trailer,Balikpapan ,Penajam,"Rp11.000.000,00"
Cargo Max 30 ton,Trailer,Balikpapan ,Grogot,"Rp12.000.000,00",,Container 20 Ft,Trailer,Balikpapan ,Grogot,"Rp12.000.000,00",,Container 40 Ft,Trailer,Balikpapan ,Grogot,"Rp12.000.000,00"
Cargo Max 30 ton,Trailer,Balikpapan ,IKN,"Rp11.000.000,00",,Container 20 Ft,Trailer,Balikpapan ,IKN,"Rp11.000.000,00",,Container 40 Ft,Trailer,Balikpapan ,IKN,"Rp12.000.000,00"
Cargo Max 30 ton,Trailer,Balikpapan ,Tenggarong,"Rp14.000.000,00",,Container 20 Ft,Trailer,Balikpapan ,Tenggarong,"Rp14.000.000,00",,Container 40 Ft,Trailer,Balikpapan ,Tenggarong,"Rp15.000.000,00"
Cargo Max 30 ton,Trailer,Balikpapan ,Bontang,"Rp18.000.000,00",,Container 20 Ft,Trailer,Balikpapan ,Bontang,"Rp18.000.000,00",,Container 40 Ft,Trailer,Balikpapan ,Bontang,"Rp19.000.000,00"
Cargo Max 30 ton,Trailer,Balikpapan ,Handil,"Rp7.500.000,00",,Container 20 Ft,Trailer,Balikpapan ,Handil,"Rp7.500.000,00",,Container 40 Ft,Trailer,Balikpapan ,Handil,"Rp8.500.000,00"
Cargo Max 30 ton,Trailer,Balikpapan ,Sangata,"Rp22.000.000,00",,Container 20 Ft,Trailer,Balikpapan ,Sangata,"Rp22.000.000,00",,Container 40 Ft,Trailer,Balikpapan ,Sangata,"Rp23.000.000,00"
Cargo Max 30 ton,Trailer,Balikpapan ,Berau,"Rp45.000.000,00",,Container 20 Ft,Trailer,Balikpapan ,Berau,"Rp45.000.000,00",,Container 40 Ft,Trailer,Balikpapan ,Berau,"Rp46.000.000,00"
Cargo Max 30 ton,Trailer,Balikpapan ,Sanga-Sanga,"Rp7.500.000,00",,Container 20 Ft,Trailer,Balikpapan ,Sanga-Sanga,"Rp7.500.000,00",,Container 40 Ft,Trailer,Balikpapan ,Sanga-Sanga,"Rp8.500.000,00"
Cargo Max 30 ton,Trailer,Balikpapan ,Samboja,"Rp6.000.000,00",,Container 20 Ft,Trailer,Balikpapan ,Samboja,"Rp6.000.000,00",,Container 40 Ft,Trailer,Balikpapan ,Samboja,"Rp7.000.000,00"
Cargo Max 30 ton,Tronton,Balikpapan ,Samarinda,"Rp6.000.000,00",,Container 20 Ft,Tronton,Balikpapan ,Samarinda,"Rp6.000.000,00",,,,,,","
Cargo Max 30 ton,Tronton,Balikpapan ,Penajam,"Rp6.500.000,00",,Container 20 Ft,Tronton,Balikpapan ,Penajam,"Rp6.500.000,00",,,,,,
Cargo Max 30 ton,Tronton,Balikpapan ,Grogot,"Rp9.000.000,00",,Container 20 Ft,Tronton,Balikpapan ,Grogot,"Rp9.000.000,00",,,,,,
Cargo Max 30 ton,Tronton,Balikpapan ,IKN,"Rp8.000.000,00",,Container 20 Ft,Tronton,Balikpapan ,IKN,"Rp8.000.000,00",,,,,,
Cargo Max 30 ton,Tronton,Balikpapan ,Tenggarong,"Rp10.000.000,00",,Container 20 Ft,Tronton,Balikpapan ,Tenggarong,"Rp10.000.000,00",,,,,,
Cargo Max 30 ton,Tronton,Balikpapan ,Bontang,"Rp15.000.000,00",,Container 20 Ft,Tronton,Balikpapan ,Bontang,"Rp15.000.000,00",,,,,,
Cargo Max 30 ton,Tronton,Balikpapan ,Handil,"Rp5.000.000,00",,Container 20 Ft,Tronton,Balikpapan ,Handil,"Rp5.000.000,00",,,,,,
Cargo Max 30 ton,Tronton,Balikpapan ,Sangata,"Rp17.000.000,00",,Container 20 Ft,Tronton,Balikpapan ,Sangata,"Rp17.000.000,00",,,,,,
Cargo Max 30 ton,Tronton,Balikpapan ,Berau,"Rp35.000.000,00",,Container 20 Ft,Tronton,Balikpapan ,Berau,"Rp35.000.000,00",,,,,,
Cargo Max 30 ton,Tronton,Balikpapan ,Sanga-Sanga,"Rp5.000.000,00",,Container 20 Ft,Tronton,Balikpapan ,Sanga-Sanga,"Rp5.000.000,00",,,,,,
Cargo Max 30 ton,Tronton,Balikpapan ,Samboja,"Rp4.500.000,00",,Container 20 Ft,Tronton,Balikpapan ,Samboja,"Rp4.500.000,00",,,,,,
